author,nation
释僧?,梁
高大伟(DavidGosset),法
柯律格(CraigClunas),英
布丽吉特・库恩,德
曾国藩,清
海德格尔,德
布鲁诺・M.普埃列斯,西
鬼谷子,战国
后藤俊夫,日
理查德・洛克(RichardM.Locke),美
冈特・鲍利,比
凯瑟琳娜・巴赫,哥伦
宫崎市定,日
陈邦瞻,明
多米尼克・D・吉纳德(DominiqueD.Guinard),美
小林纯一,日
亚当・奥尔特(AdamAlter),美
克里斯多佛・拉什(ChristopherRush),美
迈克尔・奎贝尔(MichaelKrypel),美
阿尔温德・赛西(ArvindSathi),美
迈克尔・柯林斯(MichaelCollins),美
吉姆・马伊瓦尔德(JimMaivald),美
丹纳,法
山姆・鲁比,美
赵诚文,韩
维尔纳・阿贝尔斯豪塞,德
苏轼,宋
周敦颐,宋
蘅塘退士,清
司马迁,汉
利昂・费斯汀格,美
李白,唐
麦肯齐・芬克,美
恩格斯,德
周敦颐,宋
杰夫・布朗,美
麦基・帕米顿,菲
安东尼・巴格-莱文(AnthonyBugg-Levine),美
温庭筠,唐
韩愈,唐
孟子,战国
庄子,战国
理查德・克鲁格,美
威廉・莎士比亚(WilliamShakespeare),英
孔子,春秋
林恩・彻丽(LynneCherry),美
努里埃尔・鲁比尼,美
E.海明威,美
罗德尼・G.佩弗,美
宫川彰,日
玛丽埃伦・里士满(MaryE.Richmond),美
威廉・莎士比亚(WilliamShakespeare),英
茹燕子(EricaSwallow),美
房龙,美
吕不韦,战国
杰夫・布朗,美
麦基・帕米顿,菲
耶利米・威尔霍伊特(JerimiahWillhite),美
威廉・萨默塞特・毛姆(WilliamSomersetMaugham),英
摩根(Morgan,美
哈丽特・G.勒纳(HarrietG.Lerner),美
威廉・福克纳(WilliamFaulkner),美
伯尔茨(Boelts,美
杰夫・布朗,美
麦基・帕米顿,菲
范晔,南朝宋
陈建国,美
萨沙,乌克兰
威廉・莎士比亚(WilliamShakespeare),英
雍正帝,清
谢枋得,宋
威廉・齐默尔曼,美
张丑,明
李渔,清
弗・斯科特・菲茨杰拉德(F.ScottFitzgerald),美
孔子,春秋
冯敏昌,清
纳撒尼尔・霍桑（NathanielHawthorne）,美
弗朗西斯・培根(FrancisBacon),英
查尔斯・金斯利(CharlesKingsley),英
威廉・莎士比亚(WilliamShakespeare),英
西德尼・戴维・甘博,美
王国维,清
弗・司各特・菲茨杰拉德(F.ScottFitzgerald),美
赵崇祚,后蜀
温庭筠,唐
陈建国(JianguoChen),美
萨沙(NykolyshynOleksandr),乌克兰
莱曼・弗兰克・鲍姆,美
威廉・华莱士・丹斯诺,美
艾米莉・简・勃朗特,英
忽滑谷快天,日
福克讷,美
纳兰性德,清
石涛,清
孔丘,春秋
查尔斯・狄更斯,英
拉宾德拉纳特・泰戈尔,印
王应麟,南宋
庄子,战国
苏轼,宋
鲍姆,美
斯蒂夫・弗洛沃斯,美
李白,唐
担当,明
蘅塘退士,清
裕瑞,清
张夏,清
吴伏生,美
卫斯理・R.格雷,美
简・尼尔森,美
胡塞尔,德
王道,明
艾琳・奥尔德里奇(IreneAldridge),美
布瑞恩・麦克奎尼斯,英
青山邦彦,日
列夫・舍斯托夫,俄罗斯
列奥・施特劳斯,美
扎科特,美
古川末喜,日
伊瓦尔・贾埃弗,美
吉米・索尼,美
布拉尼米尔・约万诺维奇,塞尔
冯梦龙,明
拉塞尔・柯克(RusselKirk),美
曹雪芹,清
曹雪芹,清
马歇尔・杰文斯,美
安徒生,丹
袁黄,明
杜纲,清
戴维・麦基根(DavidMcKeegan),英
罗纳德・查理森(RonaldW.Richardson),美
张怀存,英
施耐庵,明
多米尼克・贾尼科,法
莎拉,伊拉克
戴维・M.波特,美
曹雪芹,清
弗兰切斯卡・阿西雷利,意
马丁・海德格尔,德
吴楚材,清
本・索尔,澳
威尔斯,英
迪利普・索曼,加
戴蒙德(JaredDiamond),美
露丝・贝哈(RuthBehar),美
乔伊・考利(JoyCowley),新西兰
比尔・威廉斯(BillWilliams),美
斯蒂芬・茨威格(StefanZweig),澳
早田优子,日
伊索,古希腊
王夫之,清
黛娜・加德纳(DinahGardner),英
纳兰性德,清
加藤津代志,日
罗曼・罗兰,法
托马斯・莱迪,美
仓石武四郎,日
许慎,东汉
伊索,古希腊
施耐庵,明
曹雪芹,清
王应麟,宋
管仲,春秋
大卫・里德尔,英
罗贯中,明
李清照,宋
蒲松龄,清
雷纳・齐特尔曼(RainerZitelmann),德
杰里米・J.西格尔(JeremyJ.Siegel),美
伊迪丝・霍尔,英
塞克斯都・恩披里科,古希腊
古斯塔夫・勒庞,法
李汝珍,清
曹雪芹,清
吴承恩,明
博多・舍费尔,德
王肃,三国
大卫・斯杜普,美
简・兰福德(JaneLangford),英
三崎良章,日
吴敬梓,清
屈原,战国
保罗・卡雷尔,德
安德烈・科斯托拉尼,匈
杰伊・温尼克,美
克罗齐,意
尼可・史汀顿,美
大卫・伊格曼(DavidEagleman),美
阿尔努尔・比曼尼,英
梅里尔・斯万(MerrillSwain),加
J.M.罗伯茨,英
罗贯中,明
加藤公一莱奥,日
约瑟夫・M.威廉姆斯(JosephM.Williams),美
出口治明,日
戴安娜・本特利,英
贝覃・马修,英
尤利娅・科姆斯卡,美
安娜・朗,匈
德・马明-西比里亚克,俄罗斯
莎拉・黑尔・米勒(SarahHaleMiller),美
拉杰・帕特尔,美
萨博瑞亚・麦克拉纳汉,美
刘向,西汉
安德鲁・朗格,英
罗贯中,明
科拉尔・沃克(CoralWalker),英
塞缪尔・A.卡尔伯特,美
翟理斯,英
史蒂文・克莱珀,美
刘义庆,南朝宋
伊索,古希腊
菲利普・奥尔斯瓦尔德,美
夏洛蒂・勃朗特,英
司马迁,汉
大卫・皮尔逊(DavidPearson),英
东尼亚・特拉佩（TonyaTrappe）,爱尔兰
东尼亚・特拉佩（TonyaTrappe）,爱尔兰
尼努・查帕干,尼泊尔
苏尼尔・库马尔・波迪亚尔,尼泊尔
毛凤枝,清
弗里德里希・尼采,德
朱熹,宋
瑞贝卡・佐拉克,美
司马迁,汉
裴?,南朝
伊索,古希腊
茨威格,奥
阿历克西・德・托克维尔,法
廖元度,清
曹雪芹,清
二南里人,明
马克思,德
萧良有,明
韩非子,战国
莎拉,伊拉克
刘义庆,南朝宋
玛克斯・奥勒留,古罗马
安必诺,法
李毓秀,清
刘义庆,南北朝
曹雪芹,清
戴维・梅西(DavidMacey),英
西格蒙德・弗洛伊德,奥
孔狄亚克,法
朴晋锈,韩
施耐庵,明
罗杰・加洛蒂,法
曾朴,清
石玉昆,清
萨姆・萨维奇,美
司马迁,西汉
扬・阿斯曼,德
曹雪芹,清
吴承恩,明
冯梦龙,明
罗贯中,明
戴维・舍温,美
沃伦E.巴菲特,美
劳伦斯A.坎宁安,美
施耐庵,明
高濂,明
波普尔,英
庄子,战国
克里斯蒂安・沃尔兹,法
乔丹・基米尔,美
麦瑟尔德,英
苏轼,宋
王守仁,明
托利R・兹威格,美
孟子,战国
马克思,德
大卫・肖恩,英
玛哈德・L.阿伯特,美
乔伊・考利(JoyCowley),新西兰
帕特里克・范德皮尔(PatrickvanderPijl),荷
雅各布・布克哈特(JacobBurckhardt),瑞士
安杰洛・基乌基乌,意
斯科特・惠特克(ScottC.Whitaker),美
曾参,春秋
里卡多・萨勒斯(RicardoSalles),墨

